UPC,DESCRIPTION,MANUFACTURER,n,mean_elasticity
3800039118,KELL FROOT LOOPS,KELLOGG,10413,-4.534
3000006610,QKER CAP N CRUNCH,QUAKER,10260,-3.582
3000006340,QKER LIFE ORIGINAL,QUAKER,9979,-3.157
1600027528,GM CHEERIOS,GENERAL MI,10443,-3.009
88491212971,POST FRUITY PEBBLES,POST FOODS,8554,-2.933
3000006560,QKER CAP N CRUNCH BERRIES,QUAKER,10104,-2.753
3800031838,KELL FROSTED FLAKES,KELLOGG,10439,-2.655
3800031829,KELL BITE SIZE MINI WHEAT,KELLOGG,10364,-2.529
1600027527,GM HONEY NUT CHEERIOS,GENERAL MI,10445,-2.422
88491201427,POST FM SZ HNYBNCH OT ALM,POST FOODS,8766,-2.339
88491201426,POST HNY BN OTS HNY RSTD,POST FOODS,9160,-2.338
1111085345,PL RAISIN BRAN,PRIVATE LABEL,10444,-2.24
1111085319,PL HONEY NUT TOASTD OATS,PRIVATE LABEL,10430,-2.122
1111085350,PL BT SZ FRSTD SHRD WHT,PRIVATE LABEL,10430,-2.021
1600027564,GM CHEERIOS,GENERAL MI,10441,-0.679
